,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
0,CROC 1H,24:00,4.99,6.78,6.25,240.0,70.0,"12on/12off, 6.5spm",2021-04-20
1,GALAH 3H,24:00,27.04,48.74,17.92,120.0,80.0,,2021-04-20
2,GOANNA 1H,24:00,20.5,13.89,4.58,150.0,80.0,,2021-04-20
3,GREAT WHITE 1H,24:00,58.12,74.0,20.33,125.0,90.0,,2021-04-20
4,GREAT WHITE 2H,24:00,46.67,40.0,17.0,125.0,90.0,,2021-04-20
5,JAVELINA 1H,24:00,11.9,15.0,5.0,130.0,80.0,,2021-04-20
6,MANTA 1H,24:00,32.09,38.66,13.95,200.0,80.0,chem treated,2021-04-20
7,REEF 3H,24:00,32.86,44.47,10.0,200.0,70.0,6.5spm,2021-04-20
8,RIDGEBACK 1H,24:00,16.71,12.0,3.33,120.0,80.0,7.1spm,2021-04-20
9,SEA WASP 2H,24:00,20.05,4.0,33.33,120.0,440.0,crane long stroked,2021-04-20
10,STINGRAY 2H,24:00,10.22,7.0,1.67,200.0,80.0,"12hrs on/12hrs off, 6.6spm",2021-04-20
15,Summary,,395.64,578.6800000000001,192.53,,,,2021-04-20
11,THORNY DEVIL 1H,24:00,43.19,105.37,20.42,180.0,100.0,,2021-04-20
12,THORNY DEVIL 2H,24:00,40.41,105.33,21.25,180.0,100.0,,2021-04-20
13,THORNY DEVIL 3H,24:00,14.19,32.44,7.5,150.0,80.0,,2021-04-20
14,WOMBAT 2H,24:00,16.7,31.0,10.0,140.0,80.0,,2021-04-20
0,CROC 1H,24:00:00,8.31,6.23,0.01,270,70,"12on/12off, 6.5spm. / Chem treated",2021-04-19
1,GALAH 3H,24:00:00,35.09,50.43,15.0,100,80,,2021-04-19
2,GOANNA 1H,24:00:00,17.56,14.28,1.67,110,80,,2021-04-19
3,GREAT WHITE 1H,24:00:00,58.01,73.0,38.33,125,90,Chem Treated(4/19),2021-04-19
4,GREAT WHITE 2H,24:00:00,43.33,72.0,30.0,125,90,Chem Treated(4/19),2021-04-19
5,JAVELINA 1H,24:00:00,18.33,15.0,10.0,130,80,,2021-04-19
6,MANTA 1H,24:00:00,18.14,27.35,14.65,200,80,in hand @ 6.7spm.,2021-04-19
7,REEF 3H,24:00:00,28.27,28.15,0.01,200,70,6.5spm / Chem treated,2021-04-19
8,RIDGEBACK 1H,24:00:00,16.71,11.0,1.67,120,80,7.1spm,2021-04-19
9,SEA WASP 2H,24:00:00,0.01,4.11,0.01,30,30,H/O flush csg 50bbls fresh water loaded fine no p/a today,2021-04-19
10,STINGRAY 2H,24:00:00,18.38,10.0,3.33,200,80,"12hrs on/12hrs off, 6.6spm",2021-04-19
15,Summary,,380.31,593.52,174.24,,,,2021-04-19
11,THORNY DEVIL 1H,24:00:00,41.54,105.97,20.0,180,100,,2021-04-19
12,THORNY DEVIL 2H,24:00:00,36.54,107.73,20.0,180,100,,2021-04-19
13,THORNY DEVIL 3H,24:00:00,26.74,37.27,3.33,150,80,,2021-04-19
14,WOMBAT 2H,24:00:00,13.36,31.0,15.01,140,80,,2021-04-19
0,CROC 1H,24:00:00,6.66,7.79,6.67,270,70,"12on/12off, 6.5spm",2021-04-18
1,GALAH 3H,24:00:00,36.76,46.95,16.67,100,80,,2021-04-18
2,GOANNA 1H,24:00:00,17.15,11.57,3.75,125,80,,2021-04-18
3,GREAT WHITE 1H,24:00:00,37.5,60.08,20.0,125,90,,2021-04-18
4,GREAT WHITE 2H,24:00:00,30.0,41.75,5.0,125,90,,2021-04-18
5,JAVELINA 1H,24:00:00,20.02,14.89,6.67,130,80,,2021-04-18
6,MANTA 1H,24:00:00,34.88,36.84,13.25,200,80,,2021-04-18
7,REEF 3H,24:00:00,24.44,42.97,13.75,200,70,6.5spm,2021-04-18
8,RIDGEBACK 1H,24:00:00,13.37,11.21,8.33,120,80,7.1spm,2021-04-18
9,SEA WASP 2H,24:00:00,0.01,4.28,0.01,80,80,no pump action surged called in LTF,2021-04-18
10,STINGRAY 2H,24:00:00,25.06,28.12,15.0,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-18
15,Summary,,352.78,574.72,172.41,,,,2021-04-18
11,THORNY DEVIL 1H,24:00:00,36.88,99.69,18.33,180,100,,2021-04-18
12,THORNY DEVIL 2H,24:00:00,38.31,108.7,23.33,180,100,,2021-04-18
13,THORNY DEVIL 3H,24:00:00,11.71,29.45,5.0,150,80,,2021-04-18
14,WOMBAT 2H,24:00:00,20.04,30.43,16.66,140,80,,2021-04-18
16,CROC 1H,24:00:00,53.91,58.52,20.42,270,70,"12on/12off, 6.5spm",2021-04-17
17,GALAH 3H,24:00:00,54.65,71.65,23.75,100,80,,2021-04-17
18,GOANNA 1H,24:00:00,19.24,15.39,6.66,-,15,,2021-04-17
19,GREAT WHITE 1H,24:00:00,60.0,61.0,34.0,125,90,,2021-04-17
20,GREAT WHITE 2H,24:00:00,40.0,69.0,20.0,125,90,,2021-04-17
21,JAVELINA 1H,24:00:00,20.0,15.0,6.66,130,80,,2021-04-17
22,MANTA 1H,24:00:00,16.75,28.06,15.35,200,80,,2021-04-17
23,REEF 3H,24:00:00,33.34,41.47,16.25,200,70,6.5spm,2021-04-17
24,RIDGEBACK 1H,24:00:00,16.71,12.0,3.33,120,80,7.1spm,2021-04-17
25,SEA WASP 2H,24:00:00,5.02,26.18,0.01,100,80,,2021-04-17
26,STINGRAY 2H,24:00:00,13.37,6.0,1.67,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-17
31,Summary,,429.94,671.41,209.77,,,,2021-04-17
27,THORNY DEVIL 1H,24:00:00,28.69,98.08,16.67,180,100,,2021-04-17
28,THORNY DEVIL 2H,24:00:00,41.71,107.87,26.67,180,100,,2021-04-17
29,THORNY DEVIL 3H,24:00:00,9.85,30.19,3.34,150,80,,2021-04-17
30,WOMBAT 2H,24:00:00,16.7,31.0,15.0,140,80,,2021-04-17
32,CROC 1H,24:00:00,4.99,5.34,0.01,270,-,"12on/12off, 6.5spm",2021-04-16
33,GALAH 3H,24:00:00,36.35,48.7,14.59,150,80,,2021-04-16
34,GOANNA 1H,24:00:00,14.2,13.53,13.33,-,15,,2021-04-16
35,GREAT WHITE 1H,24:00:00,63.34,77.0,23.34,125,90,,2021-04-16
36,GREAT WHITE 2H,24:00:00,50.0,44.0,15.0,125,90,,2021-04-16
37,JAVELINA 1H,24:00:00,18.34,15.0,8.34,130,80,,2021-04-16
38,MANTA 1H,24:00:00,34.88,34.54,13.25,200,80,,2021-04-16
39,REEF 3H,24:00:00,21.63,28.25,2.08,200,70,6.5spm,2021-04-16
40,RIDGEBACK 1H,24:00:00,16.71,11.0,1.67,120,80,7.1spm,2021-04-16
41,SEA WASP 2H,24:00:00,8.35,20.87,3.33,120,80,chemical treat,2021-04-16
42,STINGRAY 2H,24:00:00,16.71,10.0,1.67,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-16
47,Summary,,405.97,587.5,154.11,,,,2021-04-16
43,THORNY DEVIL 1H,24:00:00,44.47,105.58,22.92,180,100,chemical treat,2021-04-16
44,THORNY DEVIL 2H,24:00:00,39.59,109.69,19.58,180,100,chemical treat,2021-04-16
45,THORNY DEVIL 3H,24:00:00,20.13,33.0,4.17,150,80,chemical treat,2021-04-16
46,WOMBAT 2H,24:00:00,16.28,31.0,10.84,140,80,,2021-04-16
48,CROC 1H,24:00:00,14.97,5.5,1.24,240,70,"12on/12off, 6.5spm",2021-04-15
49,GALAH 3H,24:00:00,30.19,49.25,15.83,150,80,,2021-04-15
50,GOANNA 1H,24:00:00,20.08,12.46,10.0,200,80,Chemical treat,2021-04-15
51,GREAT WHITE 1H,24:00:00,48.33,85.87,61.67,125,90,,2021-04-15
52,GREAT WHITE 2H,24:00:00,42.77,67.0,20.0,125,90,,2021-04-15
53,JAVELINA 1H,24:00:00,18.76,15.23,5.0,130,80,,2021-04-15
54,MANTA 1H,24:00:00,23.74,28.03,16.04,200,80,,2021-04-15
55,REEF 3H,24:00:00,24.94,31.88,5.83,200,70,6.5spm,2021-04-15
56,RIDGEBACK 1H,24:00:00,17.55,11.76,0.01,120,80,7.1spm,2021-04-15
57,SEA WASP 2H,24:00:00,13.37,38.45,3.33,120,80,,2021-04-15
58,STINGRAY 2H,24:00:00,30.07,30.2,15.0,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-15
63,Summary,,411.45,655.84,220.19,,,,2021-04-15
59,THORNY DEVIL 1H,24:00:00,39.07,105.16,19.16,180,100,,2021-04-15
60,THORNY DEVIL 2H,24:00:00,46.67,111.84,20.84,180,100,,2021-04-15
61,THORNY DEVIL 3H,24:00:00,22.98,32.5,11.25,150,80,,2021-04-15
62,WOMBAT 2H,24:00:00,17.96,30.71,15.0,140,80,,2021-04-15
64,CROC 1H,24:00:00,4.99,8.34,6.67,240,70,"12on/12off, 6.5spm",2021-04-14
65,GALAH 3H,24:00:00,36.46,52.5,16.67,150,80,,2021-04-14
66,GOANNA 1H,24:00:00,20.07,14.17,11.67,150,80,,2021-04-14
67,GREAT WHITE 1H,24:00:00,12.5,29.45,14.99,125,90,,2021-04-14
68,GREAT WHITE 2H,24:00:00,33.33,47.06,15.0,125,90,,2021-04-14
69,JAVELINA 1H,24:00:00,20.02,15.18,6.67,130,80,,2021-04-14
70,MANTA 1H,24:00:00,18.94,35.13,16.74,200,80,,2021-04-14
71,REEF 3H,24:00:00,27.25,61.0,35.0,200,70,6.5spm,2021-04-14
72,RIDGEBACK 1H,24:00:00,16.29,11.82,3.34,120,80,7.1spm,2021-04-14
73,SEA WASP 2H,24:00:00,16.77,110.76,7.91,150,80,,2021-04-14
74,STINGRAY 2H,24:00:00,12.96,6.28,0.01,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-14
79,Summary,,352.05,690.93,204.65,,,,2021-04-14
75,THORNY DEVIL 1H,24:00:00,41.56,105.69,19.17,180,100,,2021-04-14
76,THORNY DEVIL 2H,24:00:00,54.15,123.73,29.16,180,100,,2021-04-14
77,THORNY DEVIL 3H,24:00:00,17.56,37.65,4.58,150,80,,2021-04-14
78,WOMBAT 2H,24:00:00,19.2,32.17,16.25,140,80,.,2021-04-14
80,CROC 1H,24:00:00,8.31,23.29,25.0,240,70,"12on/12off, 6.5spm",2021-04-13
81,GALAH 3H,24:00:00,34.24,52.7,20.0,150,80,,2021-04-13
82,GOANNA 1H,24:00:00,18.41,13.93,10.0,180,80,,2021-04-13
83,GREAT WHITE 1H,24:00:00,60.83,66.06,30.67,125,90,,2021-04-13
84,GREAT WHITE 2H,24:00:00,51.67,64.15,20.0,125,90,,2021-04-13
85,JAVELINA 1H,24:00:00,20.43,15.26,7.91,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-13
86,MANTA 1H,24:00:00,19.53,24.82,5.58,200,80,,2021-04-13
87,REEF 3H,24:00:00,29.06,30.63,1.67,200,70,6.5spm,2021-04-13
88,RIDGEBACK 1H,24:00:00,17.12,12.05,3.33,120,80,7.1spm,2021-04-13
89,SEA WASP 2H,24:00:00,24.75,4.31,47.09,100,400,LTF 50/20,2021-04-13
